Federal Information Processing Standards (FIPS) Code,State,Area name,Rural-Urban Continuum Code 2013,Population 1990,Population 2000,Population 2010,Population 2020,Population 2021
18163,IN,Vanderburgh County,2,165058.00 ,171941.00 ,179703.00 ,180136.00 ,179987.00 
18165,IN,Vermillion County,3,16773.00 ,16790.00 ,16212.00 ,15439.00 ,15341.00 
18167,IN,Vigo County,3,106107.00 ,105859.00 ,107848.00 ,106153.00 ,105994.00 
18169,IN,Wabash County,6,35069.00 ,34968.00 ,32888.00 ,30976.00 ,30816.00 
18171,IN,Warren County,8,8176.00 ,8415.00 ,8508.00 ,8440.00 ,8475.00 
18173,IN,Warrick County,2,44920.00 ,52380.00 ,59689.00 ,63898.00 ,64514.00 
18175,IN,Washington County,1,23717.00 ,27204.00 ,28262.00 ,28182.00 ,28102.00 
18177,IN,Wayne County,5,71951.00 ,71087.00 ,68917.00 ,66553.00 ,66456.00 
18179,IN,Wells County,2,25948.00 ,27626.00 ,27636.00 ,28180.00 ,28197.00 
18181,IN,White County,6,23265.00 ,25264.00 ,24643.00 ,24688.00 ,24651.00 
18183,IN,Whitley County,2,27651.00 ,30617.00 ,33292.00 ,34191.00 ,34430.00 
19000,IA,Iowa,,2776831.00 ,2926538.00 ,3046355.00 ,3190369.00 ,3193079.00 
19001,IA,Adair County,8,8409.00 ,8252.00 ,7682.00 ,7496.00 ,7541.00 
19003,IA,Adams County,9,4866.00 ,4479.00 ,4029.00 ,3704.00 ,3641.00 
19005,IA,Allamakee County,6,13855.00 ,14687.00 ,14330.00 ,14061.00 ,13926.00 
19007,IA,Appanoose County,7,13743.00 ,13715.00 ,12887.00 ,12317.00 ,12257.00 
19009,IA,Audubon County,8,7334.00 ,6826.00 ,6119.00 ,5674.00 ,5635.00 
19011,IA,Benton County,2,22429.00 ,25312.00 ,26076.00 ,25575.00 ,25691.00 
19013,IA,Black Hawk County,3,123798.00 ,127990.00 ,131090.00 ,131144.00 ,130368.00 
19015,IA,Boone County,6,25186.00 ,26206.00 ,26306.00 ,26715.00 ,26723.00 
19017,IA,Bremer County,3,22813.00 ,23361.00 ,24276.00 ,24988.00 ,25081.00 
19019,IA,Buchanan County,6,20844.00 ,21092.00 ,20958.00 ,20565.00 ,20657.00 
19021,IA,Buena Vista County,7,19965.00 ,20415.00 ,20260.00 ,20823.00 ,20771.00 
19023,IA,Butler County,8,15731.00 ,15307.00 ,14867.00 ,14334.00 ,14332.00 
19025,IA,Calhoun County,9,11508.00 ,11114.00 ,9670.00 ,9927.00 ,9915.00 
19027,IA,Carroll County,7,21423.00 ,21433.00 ,20816.00 ,20760.00 ,20692.00 
19029,IA,Cass County,6,15128.00 ,14689.00 ,13956.00 ,13127.00 ,13050.00 
19031,IA,Cedar County,6,17444.00 ,18181.00 ,18499.00 ,18505.00 ,18410.00 
19033,IA,Cerro Gordo County,5,46733.00 ,46454.00 ,44151.00 ,43127.00 ,42706.00 
19035,IA,Cherokee County,6,14098.00 ,13032.00 ,12072.00 ,11658.00 ,11503.00 
19037,IA,Chickasaw County,6,13295.00 ,13095.00 ,12439.00 ,12012.00 ,11887.00 
19039,IA,Clarke County,6,8287.00 ,9131.00 ,9286.00 ,9748.00 ,9785.00 
19041,IA,Clay County,7,17585.00 ,17369.00 ,16667.00 ,16384.00 ,16440.00 
19043,IA,Clayton County,8,19054.00 ,18667.00 ,18129.00 ,17043.00 ,16998.00 
19045,IA,Clinton County,4,51040.00 ,50159.00 ,49116.00 ,46460.00 ,46463.00 
19047,IA,Crawford County,7,16775.00 ,16945.00 ,17096.00 ,16525.00 ,16193.00 
19049,IA,Dallas County,2,29755.00 ,41109.00 ,66135.00 ,99678.00 ,103796.00 
19051,IA,Davis County,9,8312.00 ,8541.00 ,8753.00 ,9110.00 ,9138.00 
19053,IA,Decatur County,9,8338.00 ,8689.00 ,8457.00 ,7645.00 ,7659.00 
19055,IA,Delaware County,6,18035.00 ,18422.00 ,17764.00 ,17488.00 ,17510.00 
19057,IA,Des Moines County,5,42614.00 ,42359.00 ,40325.00 ,38910.00 ,38491.00 
19059,IA,Dickinson County,7,14909.00 ,16429.00 ,16667.00 ,17703.00 ,17851.00 
19061,IA,Dubuque County,3,86403.00 ,89133.00 ,93653.00 ,99266.00 ,98718.00 
19063,IA,Emmet County,7,11569.00 ,11022.00 ,10302.00 ,9388.00 ,9321.00 
19065,IA,Fayette County,6,21843.00 ,22020.00 ,20880.00 ,19509.00 ,19258.00 
19067,IA,Floyd County,7,17058.00 ,16898.00 ,16303.00 ,15627.00 ,15413.00 
19069,IA,Franklin County,7,11364.00 ,10700.00 ,10680.00 ,10019.00 ,9952.00 
19071,IA,Fremont County,8,8226.00 ,8008.00 ,7441.00 ,6605.00 ,6567.00 
19073,IA,Greene County,6,10045.00 ,10372.00 ,9336.00 ,8771.00 ,8717.00 
19075,IA,Grundy County,3,12029.00 ,12370.00 ,12453.00 ,12329.00 ,12347.00 
19077,IA,Guthrie County,2,10935.00 ,11348.00 ,10954.00 ,10623.00 ,10567.00 
19079,IA,Hamilton County,6,16071.00 ,16435.00 ,15673.00 ,15039.00 ,14887.00 
19081,IA,Hancock County,7,12638.00 ,12107.00 ,11341.00 ,10795.00 ,10663.00 
19083,IA,Hardin County,6,19094.00 ,18806.00 ,17534.00 ,16878.00 ,16708.00 
19085,IA,Harrison County,2,14730.00 ,15674.00 ,14928.00 ,14582.00 ,14669.00 
19087,IA,Henry County,6,19226.00 ,20353.00 ,20145.00 ,20482.00 ,20387.00 
19089,IA,Howard County,6,9809.00 ,9951.00 ,9566.00 ,9469.00 ,9478.00 
19091,IA,Humboldt County,7,10756.00 ,10384.00 ,9815.00 ,9597.00 ,9634.00 
19093,IA,Ida County,8,8365.00 ,7839.00 ,7089.00 ,7005.00 ,6956.00 
19095,IA,Iowa County,6,14630.00 ,15680.00 ,16355.00 ,16662.00 ,16568.00 
19097,IA,Jackson County,6,19950.00 ,20295.00 ,19848.00 ,19485.00 ,19368.00 
19099,IA,Jasper County,6,34795.00 ,37229.00 ,36842.00 ,37813.00 ,37764.00 
19101,IA,Jefferson County,7,16310.00 ,16180.00 ,16843.00 ,15663.00 ,15647.00 
19103,IA,Johnson County,3,96119.00 ,110983.00 ,130882.00 ,152854.00 ,154748.00 
19105,IA,Jones County,2,19444.00 ,20227.00 ,20638.00 ,20646.00 ,20805.00 
19107,IA,Keokuk County,8,11624.00 ,11405.00 ,10511.00 ,10033.00 ,9914.00 
19109,IA,Kossuth County,7,18591.00 ,17159.00 ,15543.00 ,14828.00 ,14529.00 
19111,IA,Lee County,5,38687.00 ,38062.00 ,35862.00 ,33555.00 ,33215.00 
19113,IA,Linn County,2,168767.00 ,191728.00 ,211226.00 ,230299.00 ,228939.00 
19115,IA,Louisa County,8,11592.00 ,12188.00 ,11387.00 ,10837.00 ,10749.00 
19117,IA,Lucas County,6,9070.00 ,9412.00 ,8898.00 ,8634.00 ,8710.00 
19119,IA,Lyon County,8,11952.00 ,11763.00 ,11581.00 ,11934.00 ,12011.00 
19121,IA,Madison County,2,12483.00 ,14012.00 ,15679.00 ,16548.00 ,16773.00 
19123,IA,Mahaska County,7,21532.00 ,22319.00 ,22381.00 ,22190.00 ,21984.00 
19125,IA,Marion County,6,30001.00 ,32048.00 ,33309.00 ,33414.00 ,33380.00 
19127,IA,Marshall County,4,38276.00 ,39332.00 ,40648.00 ,40105.00 ,39853.00 
19129,IA,Mills County,2,13202.00 ,14543.00 ,15059.00 ,14484.00 ,14465.00 
19131,IA,Mitchell County,7,10928.00 ,10877.00 ,10776.00 ,10565.00 ,10555.00 
19133,IA,Monona County,6,10034.00 ,10020.00 ,9243.00 ,8751.00 ,8574.00 
19135,IA,Monroe County,7,8114.00 ,8012.00 ,7970.00 ,7577.00 ,7610.00 
19137,IA,Montgomery County,6,12076.00 ,11775.00 ,10740.00 ,10330.00 ,10322.00 
19139,IA,Muscatine County,4,39907.00 ,41723.00 ,42745.00 ,43235.00 ,42688.00 
19141,IA,O'Brien County,7,15444.00 ,15096.00 ,14398.00 ,14182.00 ,14015.00 
19143,IA,Osceola County,7,7267.00 ,7003.00 ,6462.00 ,6192.00 ,6159.00 
19145,IA,Page County,6,16870.00 ,16982.00 ,15932.00 ,15211.00 ,15197.00 
19147,IA,Palo Alto County,7,10669.00 ,10143.00 ,9421.00 ,8996.00 ,8906.00 
19149,IA,Plymouth County,3,23388.00 ,24859.00 ,24986.00 ,25698.00 ,25650.00 
19151,IA,Pocahontas County,9,9525.00 ,8664.00 ,7310.00 ,7078.00 ,7074.00 
19153,IA,Polk County,2,327140.00 ,374258.00 ,430640.00 ,492401.00 ,496844.00 
19155,IA,Pottawattamie County,2,82628.00 ,87825.00 ,93158.00 ,93667.00 ,93304.00 
19157,IA,Poweshiek County,7,19033.00 ,18829.00 ,18914.00 ,18662.00 ,18586.00 
19159,IA,Ringgold County,9,5420.00 ,5469.00 ,5131.00 ,4663.00 ,4639.00 
19161,IA,Sac County,9,12324.00 ,11531.00 ,10350.00 ,9814.00 ,9752.00 
19163,IA,Scott County,2,150973.00 ,158705.00 ,165224.00 ,174669.00 ,174170.00 
19165,IA,Shelby County,6,13230.00 ,13064.00 ,12167.00 ,11746.00 ,11770.00 
19167,IA,Sioux County,7,29903.00 ,31596.00 ,33704.00 ,35872.00 ,35893.00 
19169,IA,Story County,3,74252.00 ,79988.00 ,89542.00 ,98537.00 ,99472.00 
19171,IA,Tama County,6,17419.00 ,18099.00 ,17767.00 ,17135.00 ,16867.00 
19173,IA,Taylor County,9,7114.00 ,6958.00 ,6317.00 ,5896.00 ,5868.00 
19175,IA,Union County,6,12750.00 ,12312.00 ,12534.00 ,12138.00 ,12018.00 
19177,IA,Van Buren County,9,7676.00 ,7800.00 ,7570.00 ,7203.00 ,7243.00 
19179,IA,Wapello County,5,35696.00 ,36067.00 ,35625.00 ,35437.00 ,35256.00 
19181,IA,Warren County,2,36033.00 ,40672.00 ,46225.00 ,52403.00 ,53402.00 
19183,IA,Washington County,3,19612.00 ,20679.00 ,21704.00 ,22565.00 ,22491.00 
19185,IA,Wayne County,9,7067.00 ,6732.00 ,6403.00 ,6497.00 ,6508.00 
19187,IA,Webster County,5,40342.00 ,40230.00 ,38013.00 ,36999.00 ,37147.00 
19189,IA,Winnebago County,7,12122.00 ,11717.00 ,10866.00 ,10679.00 ,10656.00 
19191,IA,Winneshiek County,7,20847.00 ,21291.00 ,21056.00 ,20070.00 ,19892.00 
19193,IA,Woodbury County,3,98276.00 ,103876.00 ,102172.00 ,105941.00 ,105607.00 
19195,IA,Worth County,9,7991.00 ,7904.00 ,7598.00 ,7443.00 ,7385.00 
19197,IA,Wright County,7,14269.00 ,14337.00 ,13229.00 ,12943.00 ,12785.00 
20000,KS,Kansas,,2477588.00 ,2688925.00 ,2853118.00 ,2937880.00 ,2934582.00 
20001,KS,Allen County,7,14638.00 ,14394.00 ,13371.00 ,12526.00 ,12464.00 
20003,KS,Anderson County,6,7803.00 ,8108.00 ,8102.00 ,7836.00 ,7778.00 
20005,KS,Atchison County,6,16932.00 ,16787.00 ,16924.00 ,16348.00 ,16239.00 
20007,KS,Barber County,9,5874.00 ,5307.00 ,4861.00 ,4228.00 ,4110.00 
20009,KS,Barton County,7,29382.00 ,28200.00 ,27674.00 ,25493.00 ,25216.00 
20011,KS,Bourbon County,6,14966.00 ,15380.00 ,15173.00 ,14360.00 ,14323.00 
20013,KS,Brown County,6,11128.00 ,10728.00 ,9984.00 ,9508.00 ,9455.00 
20015,KS,Butler County,2,50580.00 ,59455.00 ,65880.00 ,67380.00 ,67889.00 
20017,KS,Chase County,9,3021.00 ,3030.00 ,2790.00 ,2572.00 ,2598.00 
20019,KS,Chautauqua County,8,4407.00 ,4359.00 ,3669.00 ,3379.00 ,3395.00 
20021,KS,Cherokee County,6,21374.00 ,22601.00 ,21603.00 ,19362.00 ,19130.00 
20023,KS,Cheyenne County,9,3243.00 ,3165.00 ,2726.00 ,2616.00 ,2633.00 
20025,KS,Clark County,9,2418.00 ,2395.00 ,2215.00 ,1991.00 ,1977.00 
20027,KS,Clay County,6,9158.00 ,8845.00 ,8535.00 ,8117.00 ,8077.00 
20029,KS,Cloud County,7,11023.00 ,10271.00 ,9533.00 ,9032.00 ,8928.00 
20031,KS,Coffey County,6,8404.00 ,8871.00 ,8601.00 ,8360.00 ,8338.00 
20033,KS,Comanche County,9,2313.00 ,1967.00 ,1891.00 ,1689.00 ,1670.00 
20035,KS,Cowley County,4,36915.00 ,36307.00 ,36311.00 ,34549.00 ,34496.00 
20037,KS,Crawford County,4,35582.00 ,38248.00 ,39134.00 ,38972.00 ,39110.00 
20039,KS,Decatur County,9,4021.00 ,3472.00 ,2961.00 ,2764.00 ,2751.00 
20041,KS,Dickinson County,7,18958.00 ,19327.00 ,19754.00 ,18402.00 ,18459.00 
20043,KS,Doniphan County,3,8134.00 ,8249.00 ,7945.00 ,7510.00 ,7471.00 
20045,KS,Douglas County,3,81798.00 ,99953.00 ,110826.00 ,118785.00 ,119363.00 
20047,KS,Edwards County,9,3787.00 ,3449.00 ,3037.00 ,2907.00 ,2832.00 
20049,KS,Elk County,8,3327.00 ,3261.00 ,2882.00 ,2483.00 ,2441.00 
20051,KS,Ellis County,5,26004.00 ,27506.00 ,28452.00 ,28934.00 ,28790.00 
20053,KS,Ellsworth County,7,6586.00 ,6524.00 ,6497.00 ,6376.00 ,6336.00 
20055,KS,Finney County,5,33070.00 ,40517.00 ,36776.00 ,38470.00 ,38107.00 
20057,KS,Ford County,5,27463.00 ,32452.00 ,33848.00 ,34287.00 ,34159.00 
20059,KS,Franklin County,6,21994.00 ,24784.00 ,25992.00 ,25996.00 ,25986.00 
20061,KS,Geary County,4,30453.00 ,27849.00 ,34362.00 ,36739.00 ,35934.00 
20063,KS,Gove County,9,3231.00 ,3074.00 ,2695.00 ,2718.00 ,2755.00 
20065,KS,Graham County,9,3543.00 ,2944.00 ,2597.00 ,2415.00 ,2400.00 
20067,KS,Grant County,7,7159.00 ,7905.00 ,7829.00 ,7352.00 ,7324.00 
20069,KS,Gray County,9,5396.00 ,5918.00 ,6006.00 ,5653.00 ,5644.00 
20071,KS,Greeley County,9,1774.00 ,1534.00 ,1247.00 ,1284.00 ,1304.00 
20073,KS,Greenwood County,6,7847.00 ,7663.00 ,6689.00 ,6016.00 ,5939.00 
20075,KS,Hamilton County,9,2388.00 ,2665.00 ,2690.00 ,2518.00 ,2484.00 
20077,KS,Harper County,8,7124.00 ,6537.00 ,6034.00 ,5485.00 ,5331.00 
20079,KS,Harvey County,2,31028.00 ,32885.00 ,34684.00 ,34024.00 ,33817.00 
20081,KS,Haskell County,9,3886.00 ,4307.00 ,4256.00 ,3780.00 ,3668.00 
20083,KS,Hodgeman County,9,2177.00 ,2081.00 ,1916.00 ,1723.00 ,1710.00 
20085,KS,Jackson County,3,11525.00 ,12650.00 ,13462.00 ,13232.00 ,13261.00 
20087,KS,Jefferson County,3,15905.00 ,18450.00 ,19126.00 ,18368.00 ,18411.00 
20089,KS,Jewell County,9,4251.00 ,3789.00 ,3077.00 ,2932.00 ,2937.00 
20091,KS,Johnson County,1,355021.00 ,451541.00 ,544179.00 ,609863.00 ,613219.00 
20093,KS,Kearny County,9,4027.00 ,4525.00 ,3977.00 ,3983.00 ,3891.00 
20095,KS,Kingman County,2,8292.00 ,8675.00 ,7858.00 ,7470.00 ,7392.00 
20097,KS,Kiowa County,9,3660.00 ,3278.00 ,2553.00 ,2460.00 ,2392.00 
20099,KS,Labette County,7,23693.00 ,22821.00 ,21607.00 ,20184.00 ,19912.00 
20101,KS,Lane County,9,2375.00 ,2155.00 ,1750.00 ,1574.00 ,1565.00 
20103,KS,Leavenworth County,1,64371.00 ,68684.00 ,76227.00 ,81881.00 ,82184.00 
20105,KS,Lincoln County,9,3653.00 ,3578.00 ,3241.00 ,2939.00 ,2903.00 
20107,KS,Linn County,1,8254.00 ,9541.00 ,9656.00 ,9591.00 ,9747.00 
20109,KS,Logan County,9,3081.00 ,3051.00 ,2756.00 ,2762.00 ,2722.00 
20111,KS,Lyon County,4,34732.00 ,35934.00 ,33690.00 ,32179.00 ,31998.00 
20113,KS,McPherson County,7,27268.00 ,29560.00 ,29180.00 ,30223.00 ,30146.00 
20115,KS,Marion County,6,12888.00 ,13358.00 ,12660.00 ,11823.00 ,11712.00 
20117,KS,Marshall County,6,11705.00 ,10967.00 ,10117.00 ,10038.00 ,9979.00 
20119,KS,Meade County,9,4247.00 ,4628.00 ,4575.00 ,4055.00 ,4022.00 
20121,KS,Miami County,1,23466.00 ,28340.00 ,32787.00 ,34191.00 ,34593.00 
20123,KS,Mitchell County,7,7203.00 ,6929.00 ,6373.00 ,5796.00 ,5748.00 
20125,KS,Montgomery County,5,38816.00 ,36267.00 ,35471.00 ,31486.00 ,31156.00 
20127,KS,Morris County,8,6198.00 ,6113.00 ,5923.00 ,5386.00 ,5356.00 
20129,KS,Morton County,9,3480.00 ,3494.00 ,3233.00 ,2701.00 ,2692.00 
20131,KS,Nemaha County,6,10446.00 ,10716.00 ,10178.00 ,10273.00 ,10216.00 
20133,KS,Neosho County,7,17035.00 ,16996.00 ,16512.00 ,15904.00 ,15784.00 
20135,KS,Ness County,9,4033.00 ,3452.00 ,3107.00 ,2687.00 ,2672.00 
20137,KS,Norton County,7,5947.00 ,5950.00 ,5671.00 ,5459.00 ,5342.00 
20139,KS,Osage County,3,15248.00 ,16713.00 ,16295.00 ,15766.00 ,15768.00 
20141,KS,Osborne County,9,4867.00 ,4452.00 ,3858.00 ,3500.00 ,3498.00 
20143,KS,Ottawa County,9,5634.00 ,6164.00 ,6091.00 ,5735.00 ,5838.00 
20145,KS,Pawnee County,7,7555.00 ,7235.00 ,6973.00 ,6253.00 ,6225.00 
20147,KS,Phillips County,7,6590.00 ,5995.00 ,5642.00 ,4981.00 ,4815.00 
20149,KS,Pottawatomie County,3,16128.00 ,18208.00 ,21604.00 ,25348.00 ,25790.00 
20151,KS,Pratt County,7,9702.00 ,9649.00 ,9656.00 ,9157.00 ,9181.00 
20153,KS,Rawlins County,9,3404.00 ,2966.00 ,2519.00 ,2561.00 ,2549.00 
20155,KS,Reno County,4,62389.00 ,64793.00 ,64511.00 ,61898.00 ,61414.00 
20157,KS,Republic County,9,6482.00 ,5831.00 ,4980.00 ,4674.00 ,4662.00 
20159,KS,Rice County,7,10610.00 ,10760.00 ,10083.00 ,9427.00 ,9390.00 
20161,KS,Riley County,3,67139.00 ,62954.00 ,71115.00 ,71959.00 ,72208.00 
20163,KS,Rooks County,9,6039.00 ,5685.00 ,5181.00 ,4919.00 ,4831.00 
20165,KS,Rush County,9,3842.00 ,3549.00 ,3307.00 ,2956.00 ,2953.00 
20167,KS,Russell County,7,7835.00 ,7374.00 ,6970.00 ,6691.00 ,6703.00 
20169,KS,Saline County,5,49301.00 ,53599.00 ,55606.00 ,54303.00 ,53888.00 
20171,KS,Scott County,7,5289.00 ,5120.00 ,4936.00 ,5151.00 ,5131.00 
20173,KS,Sedgwick County,2,403662.00 ,452901.00 ,498365.00 ,523824.00 ,523828.00 
20175,KS,Seward County,5,18743.00 ,22517.00 ,22952.00 ,21964.00 ,21747.00 
20177,KS,Shawnee County,3,160976.00 ,169879.00 ,177934.00 ,178909.00 ,178264.00 
20179,KS,Sheridan County,9,3043.00 ,2814.00 ,2556.00 ,2447.00 ,2478.00 
20181,KS,Sherman County,7,6926.00 ,6757.00 ,6010.00 ,5927.00 ,5895.00 
20183,KS,Smith County,9,5078.00 ,4538.00 ,3853.00 ,3570.00 ,3576.00 
20185,KS,Stafford County,9,5365.00 ,4789.00 ,4437.00 ,4072.00 ,4034.00 
20187,KS,Stanton County,9,2333.00 ,2406.00 ,2235.00 ,2084.00 ,2044.00 
20189,KS,Stevens County,7,5048.00 ,5465.00 ,5724.00 ,5250.00 ,5293.00 
20191,KS,Sumner County,2,25841.00 ,25944.00 ,24132.00 ,22382.00 ,22385.00 
20193,KS,Thomas County,7,8258.00 ,8174.00 ,7900.00 ,7930.00 ,7877.00 
20195,KS,Trego County,9,3694.00 ,3311.00 ,3001.00 ,2808.00 ,2793.00 
20197,KS,Wabaunsee County,3,6603.00 ,6876.00 ,7053.00 ,6877.00 ,6966.00 
20199,KS,Wallace County,9,1821.00 ,1749.00 ,1485.00 ,1512.00 ,1508.00 
20201,KS,Washington County,9,7073.00 ,6458.00 ,5799.00 ,5530.00 ,5511.00 
20203,KS,Wichita County,9,2758.00 ,2531.00 ,2234.00 ,2152.00 ,2082.00 
20205,KS,Wilson County,7,10289.00 ,10341.00 ,9409.00 ,8624.00 ,8526.00 
20207,KS,Woodson County,9,4116.00 ,3788.00 ,3309.00 ,3115.00 ,3102.00 
20209,KS,Wyandotte County,1,162026.00 ,157924.00 ,157505.00 ,169245.00 ,167046.00 
21000,KY,Kentucky,,3686892.00 ,4042193.00 ,4339367.00 ,4505836.00 ,4509394.00 
21001,KY,Adair County,7,15360.00 ,17275.00 ,18656.00 ,18903.00 ,18932.00 
21003,KY,Allen County,3,14628.00 ,17792.00 ,19956.00 ,20588.00 ,20797.00 
21005,KY,Anderson County,6,14571.00 ,19093.00 ,21421.00 ,23852.00 ,24035.00 
21007,KY,Ballard County,9,7902.00 ,8293.00 ,8249.00 ,7728.00 ,7695.00 
21009,KY,Barren County,6,34001.00 ,38045.00 ,42173.00 ,44485.00 ,44544.00 
21011,KY,Bath County,8,9692.00 ,11099.00 ,11591.00 ,12750.00 ,12778.00 
21013,KY,Bell County,7,31506.00 ,30049.00 ,28691.00 ,24097.00 ,23858.00 
21015,KY,Boone County,1,57589.00 ,86051.00 ,118811.00 ,135968.00 ,137412.00 
21017,KY,Bourbon County,2,19236.00 ,19360.00 ,19985.00 ,20252.00 ,20229.00 
21019,KY,Boyd County,2,51096.00 ,49721.00 ,49542.00 ,48261.00 ,47899.00 
21021,KY,Boyle County,7,25590.00 ,27676.00 ,28432.00 ,30614.00 ,30747.00 
21023,KY,Bracken County,1,7766.00 ,8276.00 ,8488.00 ,8400.00 ,8439.00 
21025,KY,Breathitt County,7,15703.00 ,16089.00 ,13878.00 ,13718.00 ,13553.00 
21027,KY,Breckinridge County,8,16312.00 ,18633.00 ,20059.00 ,20432.00 ,20651.00 
21029,KY,Bullitt County,1,47567.00 ,61178.00 ,74319.00 ,82217.00 ,82918.00 
21031,KY,Butler County,3,11245.00 ,12981.00 ,12690.00 ,12371.00 ,12294.00 
21033,KY,Caldwell County,7,13232.00 ,13057.00 ,12984.00 ,12649.00 ,12624.00 
21035,KY,Calloway County,7,30735.00 ,34182.00 ,37191.00 ,37103.00 ,37560.00 
21037,KY,Campbell County,1,83866.00 ,88627.00 ,90336.00 ,93076.00 ,93050.00 
21039,KY,Carlisle County,9,5238.00 ,5349.00 ,5104.00 ,4826.00 ,4791.00 
21041,KY,Carroll County,6,9292.00 ,10170.00 ,10811.00 ,10810.00 ,10863.00 
21043,KY,Carter County,6,24340.00 ,26879.00 ,27720.00 ,26627.00 ,26412.00 
21045,KY,Casey County,9,14211.00 ,15450.00 ,15955.00 ,15941.00 ,15866.00 
21047,KY,Christian County,2,68941.00 ,72402.00 ,73955.00 ,72748.00 ,72357.00 
21049,KY,Clark County,2,29496.00 ,33180.00 ,35613.00 ,36972.00 ,36871.00 
21051,KY,Clay County,7,21746.00 ,24586.00 ,21730.00 ,20345.00 ,20206.00 
21053,KY,Clinton County,9,9135.00 ,9622.00 ,10272.00 ,9253.00 ,9265.00 
21055,KY,Crittenden County,7,9196.00 ,9384.00 ,9315.00 ,8990.00 ,8947.00 
21057,KY,Cumberland County,9,6784.00 ,7150.00 ,6856.00 ,5888.00 ,5879.00 
21059,KY,Daviess County,3,87189.00 ,91542.00 ,96656.00 ,103312.00 ,103063.00 
21061,KY,Edmonson County,3,10357.00 ,11632.00 ,12161.00 ,12126.00 ,12291.00 
21063,KY,Elliott County,9,6455.00 ,6747.00 ,7852.00 ,7354.00 ,7381.00 
21065,KY,Estill County,6,14614.00 ,15315.00 ,14672.00 ,14163.00 ,14092.00 
21067,KY,Fayette County,2,225366.00 ,260527.00 ,295803.00 ,322570.00 ,321793.00 
21069,KY,Fleming County,7,12292.00 ,13787.00 ,14348.00 ,15082.00 ,15224.00 
21071,KY,Floyd County,7,43586.00 ,42451.00 ,39451.00 ,35942.00 ,35274.00 
21073,KY,Franklin County,4,44143.00 ,47703.00 ,49285.00 ,51541.00 ,51682.00 
21075,KY,Fulton County,9,8271.00 ,7755.00 ,6813.00 ,6515.00 ,6512.00 
21077,KY,Gallatin County,1,5393.00 ,7845.00 ,8589.00 ,8690.00 ,8775.00 
21079,KY,Garrard County,6,11579.00 ,14783.00 ,16912.00 ,16953.00 ,17362.00 
21081,KY,Grant County,1,15737.00 ,22350.00 ,24662.00 ,24941.00 ,25244.00 
21083,KY,Graves County,7,33550.00 ,37024.00 ,37121.00 ,36649.00 ,36615.00 
21085,KY,Grayson County,6,21050.00 ,24037.00 ,25746.00 ,26420.00 ,26524.00 
21087,KY,Green County,8,10371.00 ,11499.00 ,11258.00 ,11107.00 ,11291.00 
21089,KY,Greenup County,2,36796.00 ,36927.00 ,36910.00 ,35962.00 ,35649.00 
21091,KY,Hancock County,3,7864.00 ,8395.00 ,8565.00 ,9095.00 ,9064.00 
21093,KY,Hardin County,3,89240.00 ,92629.00 ,105543.00 ,110702.00 ,111607.00 
21095,KY,Harlan County,7,36574.00 ,33192.00 ,29278.00 ,26831.00 ,26164.00 
21097,KY,Harrison County,6,16248.00 ,17956.00 ,18846.00 ,18692.00 ,18950.00 
21099,KY,Hart County,8,14890.00 ,17459.00 ,18199.00 ,19288.00 ,19460.00 
21101,KY,Henderson County,2,43044.00 ,44837.00 ,46250.00 ,44793.00 ,44329.00 
21103,KY,Henry County,1,12823.00 ,15010.00 ,15416.00 ,15678.00 ,15657.00 
21105,KY,Hickman County,9,5566.00 ,5254.00 ,4902.00 ,4521.00 ,4424.00 
21107,KY,Hopkins County,5,46126.00 ,46519.00 ,46920.00 ,45423.00 ,45138.00 
21109,KY,Jackson County,9,11955.00 ,13492.00 ,13494.00 ,12955.00 ,12984.00 
21111,KY,Jefferson County,1,665123.00 ,693775.00 ,741096.00 ,782969.00 ,777874.00 
21113,KY,Jessamine County,2,30508.00 ,39043.00 ,48586.00 ,52991.00 ,53626.00 
21115,KY,Johnson County,7,23248.00 ,23443.00 ,23356.00 ,22680.00 ,22556.00 
21117,KY,Kenton County,1,142005.00 ,151449.00 ,159720.00 ,169064.00 ,169495.00 
21119,KY,Knott County,9,17906.00 ,17650.00 ,16346.00 ,14251.00 ,14053.00 
21121,KY,Knox County,7,29676.00 ,31739.00 ,31883.00 ,30193.00 ,29909.00 
21123,KY,Larue County,3,11679.00 ,13363.00 ,14193.00 ,14867.00 ,15028.00 
21125,KY,Laurel County,5,43438.00 ,52712.00 ,58849.00 ,62613.00 ,62561.00 
21127,KY,Lawrence County,6,13998.00 ,15558.00 ,15860.00 ,16293.00 ,16290.00 
21129,KY,Lee County,9,7422.00 ,7915.00 ,7887.00 ,7395.00 ,7451.00 
21131,KY,Leslie County,9,13642.00 ,12411.00 ,11310.00 ,10513.00 ,10278.00 
21133,KY,Letcher County,9,27000.00 ,25261.00 ,24519.00 ,21548.00 ,21253.00 
21135,KY,Lewis County,8,13029.00 ,14078.00 ,13870.00 ,13080.00 ,12987.00 
21137,KY,Lincoln County,7,20096.00 ,23325.00 ,24742.00 ,24275.00 ,24243.00 
21139,KY,Livingston County,9,9062.00 ,9806.00 ,9519.00 ,8888.00 ,8959.00 
21141,KY,Logan County,6,24416.00 ,26593.00 ,26835.00 ,27432.00 ,27771.00 
21143,KY,Lyon County,9,6624.00 ,8081.00 ,8314.00 ,8680.00 ,8803.00 
